task_id,label,feat
3828,application_1758535431786_13987,"[346273, 79]"
3829,application_1758535431786_13982,"[645105, 147]"
3830,application_1758535431786_13991,"[744600, 281]"
3831,application_1758535431786_13988,"[352337, 129]"
3832,application_1758535431786_13989,"[579575, 131]"
3833,application_1758535431786_13997,"[1013632, 384]"
3834,application_1758535431786_13998,"[552775, 125]"
3835,application_1758535431786_14003,"[431544, 75]"
3836,application_1758535431786_14010,"[204000, 73]"
3837,application_1758535431786_14004,"[251439, 93]"
3838,application_1758535431786_14018,"[272148, 62]"
3839,application_1758535431786_14009,"[315980, 72]"
3840,application_1758535431786_14007,"[370837, 84]"
3841,application_1758535431786_14016,"[693184, 262]"
3842,application_1758535431786_13980,"[779607, 380]"
3843,application_1758535431786_14026,"[243301, 57]"
3844,application_1758535431786_14017,"[7536979, 3203]"
3845,application_1758535431786_14011,"[1060527, 696]"
3846,application_1758535431786_14022,"[170044, 99]"
3847,application_1758535431786_14005,"[1012960, 383]"
3848,application_1758535431786_14021,"[1164495, 779]"
3849,application_1758535431786_14028,"[69545, 33]"
3850,application_1758535431786_14025,"[312543, 74]"
3851,application_1758535431786_14027,"[769284, 290]"
3852,application_1758535431786_14013,"[657288, 150]"
3853,application_1758535431786_13981,"[2998601, 1143]"
3854,application_1758535431786_14019,"[666597, 152]"
3855,application_1758535431786_14015,"[3563730, 5092]"
3856,application_1758535431786_14029,"[497133, 113]"
3857,application_1758535431786_13908,"[9161810, 2065]"
3858,application_1758535431786_14002,"[5719424, 4155]"
3859,application_1758535431786_14024,"[1646190, 568]"
3860,application_1758535431786_14033,"[338663, 78]"
3861,application_1758535431786_14023,"[999777, 228]"
3862,application_1758535431786_13999,"[4600686, 3185]"
3863,application_1758535431786_14034,"[360009, 81]"
3864,application_1758535431786_14037,"[330564, 76]"
3865,application_1758535431786_14041,"[198368, 45]"
3866,application_1758535431786_14000,"[1991776, 449]"
3867,application_1758535431786_14036,"[531565, 124]"
3868,application_1758535431786_14031,"[10109652, 5348]"
3869,application_1758535431786_14043,"[470575, 160]"
3870,application_1758535431786_14047,"[324040, 74]"
3871,application_1758535431786_13993,"[4877735, 3202]"
3872,application_1758535431786_14046,"[424001, 99]"
3873,application_1758535431786_14049,"[105157, 24]"
3874,application_1758535431786_14045,"[1239698, 470]"
3875,application_1758535431786_13995,"[6701678, 4543]"
3876,application_1758535431786_14039,"[1069097, 242]"
3877,application_1758535431786_14008,"[9133083, 6511]"
3878,application_1758535431786_14052,"[129679, 30]"
3879,application_1758535431786_14040,"[27763369, 23753]"
3880,application_1758535431786_14054,"[97607, 21]"
3881,application_1758535431786_14053,"[458013, 103]"
3882,application_1758535431786_14001,"[3731185, 841]"
3883,application_1758535431786_14056,"[110132, 27]"
3884,application_1758535431786_14055,"[10924077, 6118]"
3885,application_1758535431786_14030,"[5572283, 3684]"
3886,application_1758535431786_14038,"[2534012, 570]"
3887,application_1758535431786_14048,"[2164487, 490]"
3888,application_1758535431786_14051,"[2777936, 1993]"
3889,application_1758535431786_14044,"[4205866, 3028]"
3890,application_1758535431786_14020,"[9188377, 2780]"
3891,application_1758535431786_14057,"[10498131, 7104]"
3892,application_1758535431786_14064,"[308715, 69]"
3893,application_1758535431786_14062,"[349340, 79]"
3894,application_1758535431786_14059,"[4368791, 3625]"
3895,application_1758535431786_14065,"[412353, 93]"
3896,application_1758535431786_14066,"[710542, 93]"
3897,application_1758535431786_14067,"[82123, 39]"
3898,application_1758535431786_14014,"[5161519, 1164]"
3899,application_1758535431786_14042,"[3599822, 812]"
3900,application_1758535431786_14069,"[200787, 46]"
3901,application_1758535431786_14068,"[87604, 42]"
3902,application_1758535431786_14061,"[1190546, 270]"
3903,application_1758535431786_14035,"[9125399, 3200]"
3904,application_1758535431786_14070,"[1120588, 473]"
3905,application_1758535431786_14072,"[938467, 320]"
3906,application_1758535431786_14060,"[9221815, 6778]"
3907,application_1758535431786_14073,"[74595, 35]"
3908,application_1758535431786_14074,"[1309158, 277]"
3909,application_1758535431786_14075,"[64094, 30]"
3910,application_1758535431786_14063,"[1998795, 458]"
3911,application_1758535431786_14077,"[343858, 78]"
3912,application_1758535431786_14076,"[968488, 365]"
3913,application_1758535431786_14078,"[706955, 264]"
3914,application_1758535431786_14079,"[200400, 46]"
3915,application_1758535431786_14082,"[444183, 166]"
3916,application_1758535431786_14083,"[205689, 123]"
3917,application_1758535431786_14080,"[1356866, 306]"
3918,application_1758535431786_14081,"[1200899, 270]"
3919,application_1758535431786_14071,"[3678053, 830]"
3920,application_1758535431786_14032,"[8717406, 1966]"
3921,application_1758535431786_11218,"[320204430, 72164]"
3922,application_1758535431786_14084,"[1086178, 411]"
3923,application_1758535431786_13251,"[378015119, 139440]"
3924,application_1758535431786_14006,"[25879802, 9884]"
3925,application_1758535431786_14058,"[24281217, 18257]"
3926,application_1758535431786_14086,"[465486, 83]"
3927,application_1758535431786_14012,"[15748134, 3549]"
3928,application_1758535431786_14088,"[168525, 82]"
3929,application_1758535431786_14089,"[77868, 37]"
3930,application_1758535431786_14091,"[92908, 21]"
3931,application_1758535431786_14092,"[112348, 27]"
3932,application_1758535431786_14090,"[508132, 109]"
3933,application_1758535431786_14093,"[187432, 111]"
3934,application_1758535431786_14050,"[25512041, 3253]"
3935,application_1758535431786_14095,"[303091, 117]"
3936,application_1758535431786_14094,"[177411, 86]"
3937,application_1758535431786_14097,"[262056, 91]"
3938,application_1758535431786_13834,"[31909778, 72764]"
3939,application_1758535431786_14096,"[1523588, 344]"
3940,application_1758535431786_14099,"[349877, 80]"
3941,application_1758535431786_14087,"[5277206, 1189]"
3942,application_1758535431786_11211,"[333575801, 75175]"
3943,application_1758535431786_14110,"[217334, 50]"
3944,application_1758535431786_14112,"[164464, 97]"
3945,application_1758535431786_14101,"[8108967, 3447]"
3946,application_1758535431786_14111,"[446287, 142]"
3947,application_1758535431786_14106,"[6696553, 9933]"
3948,application_1758535431786_14108,"[2296282, 1498]"
3949,application_1758535431786_14113,"[6422721, 3362]"
3950,application_1758535431786_14102,"[1251581, 250]"
3951,application_1758535431786_14115,"[9699822, 8270]"
3952,application_1758535431786_14105,"[2047491, 462]"
3953,application_1758535431786_14114,"[18140332, 15456]"
3954,application_1758535431786_14118,"[80452, 38]"
3955,application_1758535431786_14116,"[1102630, 713]"
3956,application_1758535431786_14109,"[4969902, 637]"
3957,application_1758535431786_14119,"[552173, 124]"
3958,application_1758535431786_14107,"[1193211, 387]"
3959,application_1758535431786_14104,"[1160573, 535]"
3960,application_1758535431786_14122,"[244273, 55]"
3961,application_1758535431786_14120,"[1692093, 638]"
3962,application_1758535431786_14124,"[64630, 30]"
3963,application_1758535431786_14130,"[168189, 60]"
3964,application_1758535431786_14129,"[5171502, 4252]"
3965,application_1758535431786_14127,"[508728, 283]"
3966,application_1758535431786_14133,"[268829, 146]"
3967,application_1758535431786_14123,"[4148072, 2916]"
3968,application_1758535431786_14125,"[14228836, 10302]"
3969,application_1758535431786_14132,"[3029351, 1154]"
3970,application_1758535431786_14103,"[156828923, 186607]"
3971,application_1758535431786_14128,"[9615961, 17184]"
3972,application_1758535431786_14136,"[763604, 173]"
3973,application_1758535431786_14146,"[4066780, 3319]"
3974,application_1758535431786_14141,"[8932693, 6829]"
3975,application_1758535431786_14148,"[422150, 96]"
3976,application_1758535431786_14142,"[10576576, 4017]"
3977,application_1758535431786_14138,"[11789809, 4482]"
3978,application_1758535431786_14135,"[12213847, 4366]"
3979,application_1758535431786_14147,"[3620766, 5084]"
3980,application_1758535431786_14150,"[603746, 213]"
3981,application_1758535431786_14149,"[13875449, 7771]"
3982,application_1758535431786_14144,"[6517659, 2396]"
3983,application_1758535431786_14140,"[12320323, 4661]"
3984,application_1758535431786_14151,"[874381, 169]"
3985,application_1758535431786_14137,"[8507429, 6177]"
3986,application_1758535431786_14143,"[14431457, 6064]"
3987,application_1758535431786_14131,"[4789247, 6504]"
3988,application_1758535431786_14153,"[193675, 45]"
3989,application_1758535431786_14156,"[71188, 34]"
3990,application_1758535431786_14157,"[72849, 35]"
3991,application_1758535431786_14160,"[207569, 49]"
3992,application_1758535431786_14158,"[259342, 59]"
3993,application_1758535431786_14145,"[6192600, 4402]"
3994,application_1758535431786_14167,"[827425, 174]"
3995,application_1758535431786_14154,"[468351, 260]"
3996,application_1758535431786_14121,"[22050787, 17637]"
3997,application_1758535431786_14159,"[438715, 101]"
3998,application_1758535431786_14165,"[1500564, 1052]"
3999,application_1758535431786_14164,"[456561, 104]"
4000,application_1758535431786_14166,"[1729878, 1224]"
4001,application_1758535431786_14163,"[11316673, 7644]"
4002,application_1758535431786_14168,"[3631746, 3006]"
4003,application_1758535431786_14170,"[185683, 109]"
4004,application_1758535431786_14176,"[236834, 53]"
4005,application_1758535431786_14177,"[76731, 36]"
4006,application_1758535431786_14134,"[33134237, 26456]"
4007,application_1758535431786_14180,"[62692, 30]"
4008,application_1758535431786_14175,"[333771, 64]"
4009,application_1758535431786_14181,"[79043, 38]"
4010,application_1758535431786_14178,"[429741, 238]"
4011,application_1758535431786_14179,"[1087862, 457]"
4012,application_1758535431786_14183,"[70956, 33]"
4013,application_1758535431786_14173,"[3053071, 4521]"
4014,application_1758535431786_14174,"[141567, 68]"
4015,application_1758535431786_14162,"[4923214, 3568]"
4016,application_1758535431786_14161,"[5517189, 3964]"
4017,application_1758535431786_14189,"[66055, 31]"
4018,application_1758535431786_14186,"[75435, 80]"
4019,application_1758535431786_14191,"[65123, 31]"
4020,application_1758535431786_14185,"[306199, 70]"
4021,application_1758535431786_14184,"[956682, 215]"
4022,application_1758535431786_14187,"[158461, 77]"
4023,application_1758535431786_14100,"[22624405, 3159]"
4024,application_1758535431786_14190,"[1096997, 417]"
4025,application_1758535431786_14197,"[1281264, 497]"
4026,application_1758535431786_14188,"[168201, 81]"
4027,application_1758535431786_14182,"[1367405, 309]"
4028,application_1758535431786_14172,"[10738664, 4483]"
4029,application_1758535431786_14196,"[120835, 58]"
4030,application_1758535431786_14198,"[156633, 49]"
4031,application_1758535431786_14199,"[75713, 36]"
4032,application_1758535431786_14194,"[15472440, 10603]"
4033,application_1758535431786_14193,"[2170611, 3429]"
4034,application_1758535431786_14195,"[9760693, 4513]"
4035,application_1758535431786_14152,"[12836764, 9329]"
4036,application_1758535431786_14202,"[64026, 30]"
4037,application_1758535431786_14200,"[860001, 324]"
4038,application_1758535431786_14203,"[119578, 57]"
4039,application_1758535431786_14204,"[471355, 107]"
4040,application_1758535431786_14208,"[546031, 771]"
4041,application_1758535431786_14213,"[97082, 21]"
4042,application_1758535431786_14192,"[3224819, 5054]"
4043,application_1758535431786_14211,"[617669, 880]"
4044,application_1758535431786_14215,"[325214, 72]"
4045,application_1758535431786_14212,"[416310, 94]"
4046,application_1758535431786_14214,"[330155, 76]"
4047,application_1758535431786_14085,"[487292562, 157308]"
4048,application_1758535431786_14218,"[946406, 330]"
4049,application_1758535431786_14201,"[5128871, 7251]"
4050,application_1758535431786_14219,"[374379, 86]"
4051,application_1758535431786_10085,"[528180810, 1510404]"
4052,application_1758535431786_14210,"[1184600, 267]"
4053,application_1758535431786_14217,"[556170, 127]"
4054,application_1758535431786_14227,"[185439, 42]"
4055,application_1758535431786_14224,"[144165, 35]"
4056,application_1758535431786_14139,"[22611746, 16169]"
4057,application_1758535431786_14225,"[364934, 83]"
4058,application_1758535431786_14229,"[522788, 91]"
4059,application_1758535431786_14205,"[1512318, 342]"
4060,application_1758535431786_14169,"[26604124, 11124]"
4061,application_1758535431786_14223,"[913919, 345]"
4062,application_1758535431786_14221,"[929507, 656]"
4063,application_1758535431786_14243,"[238240, 54]"
4064,application_1758535431786_14239,"[1389485, 985]"
4065,application_1758535431786_14126,"[99463718, 81595]"
4066,application_1758535431786_14209,"[1120836, 275]"
4067,application_1758535431786_14207,"[1876640, 424]"
4068,application_1758535431786_14249,"[237683, 54]"
4069,application_1758535431786_14246,"[522586, 118]"
4070,application_1758535431786_14248,"[86634, 42]"
4071,application_1758535431786_14235,"[876576, 198]"
4072,application_1758535431786_14232,"[3250003, 2337]"
4073,application_1758535431786_14242,"[1247513, 473]"
4074,application_1758535431786_14226,"[6880602, 5349]"
4075,application_1758535431786_14206,"[4578269, 1751]"
4076,application_1758535431786_14155,"[16750438, 3587]"
4077,application_1758535431786_14247,"[358941, 81]"
4078,application_1758535431786_14244,"[788307, 178]"
4079,application_1758535431786_14252,"[96884, 22]"
4080,application_1758535431786_14231,"[233354, 113]"
4081,application_1758535431786_14253,"[255481, 59]"
4082,application_1758535431786_14240,"[1151792, 261]"
4083,application_1758535431786_14254,"[328292, 122]"
4084,application_1758535431786_14171,"[14380431, 12412]"
4085,application_1758535431786_14258,"[232969, 58]"
4086,application_1758535431786_14238,"[3178171, 1109]"
4087,application_1758535431786_14241,"[6897433, 2664]"
4088,application_1758535431786_14262,"[254987, 57]"
4089,application_1758535431786_14259,"[830670, 188]"
4090,application_1758535431786_14256,"[991505, 393]"
4091,application_1758535431786_14233,"[10452503, 18720]"
4092,application_1758535431786_14216,"[14717024, 5672]"
4093,application_1758535431786_14265,"[2063412, 761]"
4094,application_1758535431786_14261,"[1079790, 244]"
4095,application_1758535431786_14228,"[5839009, 2044]"
4096,application_1758535431786_14236,"[5010377, 1911]"
4097,application_1758535431786_14264,"[925426, 364]"
4098,application_1758535431786_14267,"[868329, 335]"
4099,application_1758535431786_14266,"[3966282, 2653]"
4100,application_1758535431786_14273,"[145821, 33]"
4101,application_1758535431786_14279,"[148643, 34]"
4102,application_1758535431786_14280,"[140378, 31]"
4103,application_1758535431786_14257,"[11340412, 8229]"
4104,application_1758535431786_14222,"[7465356, 954]"
4105,application_1758535431786_14251,"[25316559, 10660]"
4106,application_1758535431786_14278,"[223308, 53]"
4107,application_1758535431786_14272,"[424378, 96]"
4108,application_1758535431786_14269,"[11744149, 4214]"
4109,application_1758535431786_14268,"[3605352, 5958]"
4110,application_1758535431786_14281,"[183442, 109]"
4111,application_1758535431786_14277,"[621357, 139]"
4112,application_1758535431786_14220,"[8257285, 3152]"
4113,application_1758535431786_14285,"[188772, 42]"
4114,application_1758535431786_14283,"[237770, 54]"
4115,application_1758535431786_14255,"[6654806, 2539]"
4116,application_1758535431786_14288,"[162393, 37]"
4117,application_1758535431786_14274,"[1257481, 285]"
4118,application_1758535431786_14250,"[25146184, 10511]"
4119,application_1758535431786_14293,"[187673, 44]"
4120,application_1758535431786_14294,"[184505, 42]"
4121,application_1758535431786_14275,"[1831170, 414]"
4122,application_1758535431786_14282,"[2722043, 1036]"
4123,application_1758535431786_14292,"[1568917, 535]"
4124,application_1758535431786_14263,"[4613669, 2692]"
4125,application_1758535431786_14295,"[1640407, 1146]"
4126,application_1758535431786_14260,"[10628053, 3797]"
4127,application_1758535431786_14237,"[60306466, 18277]"
4128,application_1758535431786_14270,"[12419391, 4198]"
4129,application_1758535431786_14297,"[514700, 191]"
4130,application_1758535431786_14289,"[2965737, 1036]"
4131,application_1758535431786_14287,"[12219433, 5107]"
4132,application_1758535431786_14291,"[5241887, 3648]"
4133,application_1758535431786_14301,"[157545, 35]"
4134,application_1758535431786_14300,"[302930, 70]"
4135,application_1758535431786_14298,"[1529445, 581]"
4136,application_1758535431786_14304,"[239708, 55]"
4137,application_1758535431786_14299,"[1094960, 247]"
4138,application_1758535431786_14296,"[1108635, 251]"
4139,application_1758535431786_14290,"[21089364, 8025]"
4140,application_1758535431786_14307,"[1390519, 490]"
4141,application_1758535431786_14302,"[3986689, 1425]"
4142,application_1758535431786_14303,"[1166965, 464]"
4143,application_1758535431786_14308,"[1224129, 810]"
4144,application_1758535431786_14305,"[1461925, 321]"
4145,application_1758535431786_14284,"[3374090, 762]"
4146,application_1758535431786_14286,"[13004218, 9301]"
4147,application_1758535431786_14306,"[2794621, 992]"
4148,application_1758535431786_14310,"[312056, 116]"
4149,application_1758535431786_14312,"[293565, 66]"
4150,application_1758535431786_14309,"[1733293, 602]"
4151,application_1758535431786_14313,"[819121, 309]"
4152,application_1758535431786_14230,"[17361373, 6098]"
4153,application_1758535431786_14271,"[40650666, 21291]"
4154,application_1758535431786_14316,"[303389, 117]"
4155,application_1758535431786_14311,"[891265, 201]"
4156,application_1758535431786_14315,"[747132, 168]"
4157,application_1758535431786_14317,"[246561, 57]"
4158,application_1758535431786_14319,"[279806, 99]"
4159,application_1758535431786_12848,"[365474824, 128480]"
4160,application_1758535431786_14320,"[857798, 192]"
4161,application_1758535431786_14318,"[1094822, 248]"
4162,application_1758535431786_14321,"[190832, 43]"
4163,application_1758535431786_14314,"[11773266, 4338]"
4164,application_1758535431786_14334,"[189630, 69]"
4165,application_1758535431786_14322,"[616718, 300]"
4166,application_1758535431786_14338,"[219323, 49]"
4167,application_1758535431786_14276,"[8648021, 1949]"
4168,application_1758535431786_14332,"[899734, 580]"
4169,application_1758535431786_14341,"[330653, 75]"
4170,application_1758535431786_14329,"[5182956, 1761]"
4171,application_1758535431786_14336,"[1107942, 419]"
4172,application_1758535431786_14324,"[1540001, 520]"
4173,application_1758535431786_14340,"[507467, 115]"
4174,application_1758535431786_14342,"[173400, 102]"
4175,application_1758535431786_14330,"[6608952, 9810]"
4176,application_1758535431786_14339,"[877000, 198]"
4177,application_1758535431786_14344,"[201041, 45]"
4178,application_1758535431786_14325,"[838858, 168]"
4179,application_1758535431786_14347,"[592643, 196]"
4180,application_1758535431786_14333,"[6590114, 4783]"
4181,application_1758535431786_14343,"[1270915, 824]"
4182,application_1758535431786_14327,"[12126464, 5062]"
4183,application_1758535431786_14348,"[11447757, 9784]"
4184,application_1758535431786_14349,"[628308, 145]"
4185,application_1758535431786_14346,"[2358730, 1559]"
4186,application_1758535431786_14345,"[13552222, 4644]"
4187,application_1758535431786_14351,"[166306, 80]"
4188,application_1758535431786_14350,"[879531, 198]"
4189,application_1758535431786_14355,"[6107705, 3229]"
4190,application_1758535431786_14357,"[3621138, 1233]"
4191,application_1758535431786_14356,"[566519, 130]"
4192,application_1758535431786_14358,"[11663607, 6532]"
4193,application_1758535431786_14361,"[240296, 55]"
4194,application_1758535431786_14360,"[4326840, 3579]"
4195,application_1758535431786_14364,"[678092, 153]"
4196,application_1758535431786_14362,"[824126, 186]"
4197,application_1758535431786_14363,"[15840446, 10649]"
4198,application_1758535431786_14365,"[332989, 77]"
4199,application_1758535431786_14366,"[74954, 36]"
4200,application_1758535431786_14367,"[70995, 34]"
4201,application_1758535431786_14368,"[217523, 49]"
4202,application_1758535431786_14359,"[1695123, 383]"
4203,application_1758535431786_14369,"[338269, 78]"
4204,application_1758535431786_14370,"[1042635, 741]"
4205,application_1758535431786_14372,"[842596, 285]"
4206,application_1758535431786_14373,"[1224180, 515]"
4207,application_1758535431786_14374,"[312446, 71]"
4208,application_1758535431786_14326,"[19932523, 4075]"
4209,application_1758535431786_14371,"[702127, 158]"
4210,application_1758535431786_14376,"[67003, 32]"
4211,application_1758535431786_14375,"[247521, 56]"
4212,application_1758535431786_14377,"[60478, 29]"
4213,application_1758535431786_14378,"[210813, 48]"
4214,application_1758535431786_14379,"[80817, 39]"
4215,application_1758535431786_14381,"[335373, 77]"
4216,application_1758535431786_14380,"[365546, 83]"
4217,application_1758535431786_14382,"[236255, 54]"
4218,application_1758535431786_14098,"[39941622, 91829]"
4219,application_1758535431786_14385,"[665986, 251]"
4220,application_1758535431786_14386,"[175266, 103]"
4221,application_1758535431786_14383,"[4890792, 1001]"
4222,application_1758535431786_14384,"[1112108, 251]"
4223,application_1758535431786_14337,"[9478514, 2136]"
4224,application_1758535431786_14388,"[1192348, 450]"
4225,application_1758535431786_14353,"[31338228, 25060]"
4226,application_1758535431786_14390,"[82845, 40]"
4227,application_1758535431786_14323,"[17228488, 10933]"
4228,application_1758535431786_14328,"[10893862, 2455]"
4229,application_1758535431786_14391,"[58764, 28]"
4230,application_1758535431786_14392,"[505003, 88]"
4231,application_1758535431786_14393,"[87043, 41]"
4232,application_1758535431786_14396,"[109785, 26]"
4233,application_1758535431786_14397,"[178033, 105]"
4234,application_1758535431786_14352,"[14905815, 3359]"
4235,application_1758535431786_14395,"[4592704, 1016]"
4236,application_1758535431786_14398,"[374847, 141]"
4237,application_1758535431786_14399,"[231289, 83]"
4238,application_1758535431786_14354,"[31513494, 4017]"
4239,application_1758535431786_14401,"[391454, 89]"
4240,application_1758535431786_14402,"[365932, 83]"
4241,application_1758535431786_14389,"[12031134, 2712]"
4242,application_1758535431786_14335,"[23179255, 5223]"
4243,application_1758535431786_14404,"[377891, 122]"
4244,application_1758535431786_14412,"[186510, 110]"
4245,application_1758535431786_14409,"[443525, 144]"
4246,application_1758535431786_14410,"[5783774, 8632]"
4247,application_1758535431786_14408,"[1542930, 1016]"
4248,application_1758535431786_14407,"[891145, 596]"
4249,application_1758535431786_14414,"[69158, 32]"
4250,application_1758535431786_14415,"[169137, 81]"
4251,application_1758535431786_14416,"[13470234, 11505]"
4252,application_1758535431786_14234,"[1064508327, 226932]"
4253,application_1758535431786_14418,"[2596557, 1842]"
4254,application_1758535431786_14403,"[2029121, 458]"
4255,application_1758535431786_14417,"[2408072, 1583]"
4256,application_1758535431786_14331,"[46492153, 17761]"
4257,application_1758535431786_14419,"[577790, 243]"
4258,application_1758535431786_14422,"[3603659, 1287]"
4259,application_1758535431786_14413,"[43612052, 37347]"
4260,application_1758535431786_14406,"[7584997, 2973]"
4261,application_1758535431786_14426,"[75312, 36]"
4262,application_1758535431786_14411,"[4386645, 757]"
4263,application_1758535431786_14427,"[237677, 54]"
4264,application_1758535431786_14394,"[49632517, 16450]"
4265,application_1758535431786_14423,"[2760484, 1050]"
4266,application_1758535431786_14429,"[481601, 109]"
4267,application_1758535431786_14430,"[82087, 39]"
4268,application_1758535431786_14428,"[6942158, 3665]"
4269,application_1758535431786_14421,"[3205761, 1220]"
4270,application_1758535431786_14433,"[141951, 68]"
4271,application_1758535431786_14420,"[2052007, 461]"
4272,application_1758535431786_14435,"[192940, 70]"
4273,application_1758535431786_14437,"[5410577, 4469]"
4274,application_1758535431786_14440,"[260995, 137]"
4275,application_1758535431786_14431,"[9829434, 7088]"
4276,application_1758535431786_14439,"[1045574, 396]"
4277,application_1758535431786_14438,"[1368892, 515]"
4278,application_1758535431786_14387,"[22395064, 51437]"
4279,application_1758535431786_14450,"[102800, 50]"
4280,application_1758535431786_14454,"[140152, 33]"
4281,application_1758535431786_14447,"[151692, 35]"
4282,application_1758535431786_14443,"[1692843, 1216]"
4283,application_1758535431786_14451,"[964240, 363]"
4284,application_1758535431786_14455,"[2205273, 1557]"
4285,application_1758535431786_14441,"[11751213, 9276]"
4286,application_1758535431786_14463,"[373169, 83]"
4287,application_1758535431786_14442,"[962187, 217]"
4288,application_1758535431786_14461,"[490214, 111]"
4289,application_1758535431786_14464,"[785384, 267]"
4290,application_1758535431786_14457,"[1829950, 695]"
4291,application_1758535431786_14445,"[1185775, 268]"
4292,application_1758535431786_14467,"[102169, 49]"
4293,application_1758535431786_14468,"[360608, 83]"
4294,application_1758535431786_14465,"[1106782, 417]"
4295,application_1758535431786_14452,"[13616004, 10437]"
4296,application_1758535431786_14469,"[345063, 79]"
4297,application_1758535431786_14459,"[13272986, 5050]"
4298,application_1758535431786_14456,"[1544388, 351]"
4299,application_1758535431786_14466,"[958760, 216]"
4300,application_1758535431786_14436,"[4406024, 5989]"
4301,application_1758535431786_14473,"[499235, 173]"
4302,application_1758535431786_14475,"[204882, 46]"
4303,application_1758535431786_14477,"[268025, 62]"
4304,application_1758535431786_14476,"[387296, 213]"
4305,application_1758535431786_14474,"[351950, 82]"
4306,application_1758535431786_14478,"[268624, 61]"
4307,application_1758535431786_14480,"[1183598, 230]"
4308,application_1758535431786_14479,"[366406, 83]"
4309,application_1758535431786_14471,"[2047000, 778]"
4310,application_1758535431786_14481,"[161883, 94]"
4311,application_1758535431786_14432,"[18898978, 33838]"
4312,application_1758535431786_14449,"[19707600, 8293]"
4313,application_1758535431786_14485,"[286781, 64]"
4314,application_1758535431786_14470,"[1409317, 319]"
4315,application_1758535431786_14453,"[19925968, 7541]"
4316,application_1758535431786_14486,"[452996, 250]"
4317,application_1758535431786_14491,"[394967, 89]"
4318,application_1758535431786_14483,"[5289543, 3823]"
4319,application_1758535431786_14495,"[334890, 76]"
4320,application_1758535431786_14462,"[11734404, 8393]"
4321,application_1758535431786_14494,"[1678101, 1178]"
4322,application_1758535431786_14458,"[13470466, 4962]"
4323,application_1758535431786_14498,"[167790, 53]"
4324,application_1758535431786_14488,"[4582385, 3269]"
4325,application_1758535431786_14487,"[1196686, 272]"
4326,application_1758535431786_14424,"[28299480, 22639]"
4327,application_1758535431786_14492,"[1048501, 237]"
4328,application_1758535431786_14502,"[3082983, 4567]"
4329,application_1758535431786_14504,"[138546, 67]"
4330,application_1758535431786_14489,"[11658445, 4865]"
4331,application_1758535431786_14503,"[805958, 303]"
4332,application_1758535431786_14496,"[1886820, 2839]"
4333,application_1758535431786_14497,"[2546474, 4062]"
4334,application_1758535431786_14505,"[451442, 101]"
4335,application_1758535431786_14499,"[1302648, 298]"
4336,application_1758535431786_14508,"[404825, 90]"
4337,application_1758535431786_14425,"[8703280, 1962]"
4338,application_1758535431786_14518,"[1051403, 380]"
4339,application_1758535431786_14515,"[323681, 72]"
4340,application_1758535431786_14506,"[1035895, 234]"
4341,application_1758535431786_14511,"[120802, 58]"
4342,application_1758535431786_14519,"[435381, 99]"
4343,application_1758535431786_14501,"[7948893, 5768]"
4344,application_1758535431786_14528,"[103619, 25]"
4345,application_1758535431786_14529,"[197426, 45]"
4346,application_1758535431786_14484,"[16597810, 12066]"
4347,application_1758535431786_14510,"[702763, 172]"
4348,application_1758535431786_14512,"[1138904, 256]"
4349,application_1758535431786_14460,"[16895508, 11780]"
4350,application_1758535431786_14525,"[423845, 97]"
4351,application_1758535431786_14507,"[424357, 206]"
4352,application_1758535431786_14520,"[747927, 129]"
4353,application_1758535431786_14533,"[1670000, 1191]"
4354,application_1758535431786_14517,"[1127377, 255]"
4355,application_1758535431786_14540,"[460093, 104]"
4356,application_1758535431786_14541,"[859447, 325]"
4357,application_1758535431786_14542,"[278524, 64]"
4358,application_1758535431786_14532,"[1338529, 957]"
4359,application_1758535431786_14545,"[195179, 45]"
4360,application_1758535431786_14405,"[260637953, 308221]"
4361,application_1758535431786_14490,"[7543436, 2644]"
4362,application_1758535431786_14543,"[812915, 308]"
4363,application_1758535431786_14509,"[1832831, 415]"
4364,application_1758535431786_14521,"[1010248, 229]"
4365,application_1758535431786_14547,"[212556, 49]"
4366,application_1758535431786_14514,"[1183940, 287]"
4367,application_1758535431786_14448,"[13767652, 9123]"
4368,application_1758535431786_14549,"[90738, 44]"
4369,application_1758535431786_14524,"[1178856, 266]"
4370,application_1758535431786_14526,"[399103, 194]"
4371,application_1758535431786_14551,"[385701, 87]"
4372,application_1758535431786_14527,"[8294541, 6473]"
4373,application_1758535431786_14434,"[102609117, 84152]"
4374,application_1758535431786_14522,"[1556667, 352]"
4375,application_1758535431786_14513,"[5253222, 2010]"
4376,application_1758535431786_14544,"[1612270, 609]"
4377,application_1758535431786_14535,"[6690304, 2579]"
4378,application_1758535431786_14559,"[161516, 39]"
4379,application_1758535431786_14556,"[316792, 116]"
4380,application_1758535431786_14555,"[229846, 52]"
4381,application_1758535431786_14548,"[6606504, 9824]"
4382,application_1758535431786_14563,"[234291, 51]"
4383,application_1758535431786_14554,"[2437643, 3477]"
4384,application_1758535431786_14564,"[368663, 85]"
4385,application_1758535431786_14565,"[259028, 59]"
4386,application_1758535431786_14550,"[1187031, 272]"
4387,application_1758535431786_14531,"[4112853, 1438]"
4388,application_1758535431786_14553,"[896288, 354]"
4389,application_1758535431786_14493,"[29485883, 12325]"
4390,application_1758535431786_14568,"[75468, 36]"
